2 found x freq: 1
0 found x freq: 6
1 found x freq: 5
3 found x freq: 6
0 found x freq: 6
3 found x freq: 6
0 found x freq: 6
3 found x freq: 6
0 found x freq: 6
3 found x freq: 6
0 found x freq: 6
2 found x freq: 4
3 found x freq: 6
0 found x freq: 6
3 found x freq: 6
0 found x freq: 6
2 found x freq: 8
3 found x freq: 6
0 found x freq: 6
2 found x freq: 1
3 found x freq: 6
0 found x freq: 6
3 found x freq: 6
0 found x freq: 6
1 found x freq: 5
2 found x freq: 14
3 found x freq: 6
0 found x freq: 6
3 found x freq: 6
0 found x freq: 6
1 found x freq: 9
3 found x freq: 6
3 found y freq: 10
0 found x freq: 6
1 found x freq: 18
2 found x freq: 18
3 found x freq: 6
3 found y freq: 10
0 found x freq: 6
1 found x freq: 13
2 found x freq: 4
3 found x freq: 6
3 found y freq: 10
0 found x freq: 6
1 found x freq: 18
2 found x freq: 18
3 found x freq: 6
0 found x freq: 6
1 found x freq: 18
1 found y freq: 18
2 found x freq: 8
3 found x freq: 6
0 found x freq: 6
1 found x freq: 18
1 found y freq: 18
2 found x freq: 1
3 found x freq: 6
0 found x freq: 6
1 found x freq: 18
1 found y freq: 18
2 found x freq: 18
3 found x freq: 6
0 found x freq: 6
1 found x freq: 5
1 found z freq: 6
2 found x freq: 14
2 found z freq: 6
3 found x freq: 6
0 found x freq: 6
1 found x freq: 18
2 found x freq: 18
3 found x freq: 6
0 found x freq: 6
1 found x freq: 9
2 found x freq: 18
3 found x freq: 6
0 found x freq: 6
1 found x freq: 18
2 found x freq: 18
3 found x freq: 6
0 found x freq: 6
0 found y freq: 28
1 found x freq: 13
1 found y freq: 28
2 found x freq: 4
2 found y freq: 28
3 found x freq: 6
3 found y freq: 28
0 found x freq: 6
0 found y freq: 28
1 found x freq: 18
1 found y freq: 28
2 found x freq: 18
2 found y freq: 28
3 found x freq: 6
3 found y freq: 28
0 found x freq: 6
0 found y freq: 28
1 found x freq: 18
1 found y freq: 28
2 found x freq: 8
2 found y freq: 28
3 found x freq: 6
3 found y freq: 28
0 found x freq: 6
0 found y freq: 28
1 found x freq: 18
1 found y freq: 10
2 found x freq: 1
2 found y freq: 28
3 found x freq: 6
3 found y freq: 28
0 found x freq: 6
0 found y freq: 28
1 found x freq: 18
1 found y freq: 10
2 found x freq: 18
2 found y freq: 28
3 found x freq: 6
3 found y freq: 28
0 found x freq: 6
0 found y freq: 28
1 found x freq: 5
